Time on 05 Jun 2021,S4_Humidity,S4_Temperature
17:19:31,25.3,100
17:19:37,25.3,100
17:19:42,25.2,100
17:19:53,25.2,100
17:20:04,25.3,100
17:20:09,25.3,100
17:20:17,25.3,100
17:20:28,25.3,100
17:20:33,25.3,100.2
17:20:41,25.2,100.2
17:20:47,25.2,100.2
17:20:55,25.2,100.2
17:21:01,25.2,100.2
17:21:06,25.1,100.2
17:21:14,25.1,100.2
17:21:20,25.1,100.2
17:21:28,25.2,100.2
17:21:33,25.1,100.4
17:21:41,25,100.4
17:21:47,25.1,100.2
17:21:52,25.1,100.2
17:21:58,25.1,100.2
17:22:03,25.2,100.4
17:22:09,25.1,100.2
17:22:15,25.2,100.4
17:22:23,25.1,100.4
17:22:31,25.1,100.4
17:22:39,25.1,100.4
17:22:44,25.1,100.4
17:22:50,25,100.6
17:23:00,25,100.8
17:23:11,24.9,100.6
17:23:16,25,100.6
17:23:30,25,100.6
17:23:35,25,100.6
17:23:41,25,100.4
17:23:46,25,100.6
17:23:52,25,100.4
17:23:57,25,100.4
17:24:03,25,100.4
17:24:08,25.1,100.4
17:24:14,25.1,100.4
17:24:19,25.1,100.4
17:24:27,25,100.6
17:24:41,25,100.6
17:24:46,24.9,100.6
17:24:52,24.9,100.6
17:24:57,24.9,100.8
17:25:05,24.9,100.8
17:25:11,24.9,100.8
17:25:16,24.9,100.8
17:25:22,24.9,100.8
17:25:27,24.9,100.8
17:25:35,24.9,100.6
17:25:43,24.9,100.6
17:25:52,24.9,100.6
17:25:57,24.9,100.6
17:26:03,24.9,100.6
17:26:08,25,100.4
17:26:14,25.1,100.4
17:26:22,25,100.4
17:26:32,25,100.6
17:26:40,25,100.8
17:26:51,24.9,100.8
17:26:57,24.8,100.8
17:27:05,24.8,100.4
17:27:10,24.6,99.9
17:27:18,24.6,99.9
17:27:24,24.5,99
17:27:34,24.7,98.8
17:27:40,24.6,98.6
17:27:45,24.9,97.9
17:27:53,24.9,97.7
17:27:59,25.1,96.8
17:28:07,25.4,96.4
17:28:15,25.4,96.3
17:28:21,25.6,95.4
17:28:29,25.7,95.2
17:28:34,25.7,94.8
17:28:40,26.2,94.5
17:28:45,26.5,93.6
17:28:53,26.8,93
17:29:01,26.9,92.8
17:29:07,27,92.5
17:29:12,27.3,92.1
17:29:18,27.6,91.8
17:29:24,28.1,91.4
17:29:29,28.7,91
17:29:35,28.4,90.7
17:29:40,28.4,90.3
17:29:46,28.7,90
17:29:51,29.2,89.2
17:29:59,29.3,88.7
17:30:07,30,88.2
17:30:18,29.8,88
17:30:23,30.7,87.3
17:30:31,30.5,86.9
17:30:40,30.6,86.7
17:30:45,30.9,86.4
17:30:51,31.1,86.2
17:30:56,31.1,86
17:31:02,32,85.6
17:31:07,33.1,85.1
17:31:15,33.5,84.9
17:31:21,33.8,84.6
17:31:26,33.5,84.4
17:31:32,33.4,84
17:31:37,33.1,83.5
17:31:48,33.1,83.3
17:31:54,34,82.9
17:32:02,34.1,82.6
17:32:10,34.4,82.4
17:32:15,34.8,82.2
17:32:21,35.2,82
17:32:26,34.9,81.7
17:32:34,35.2,81.5
17:32:40,35.8,81.3
17:32:45,36.4,81
17:32:53,36.4,81
17:32:59,36.9,80.6
17:33:04,37.6,80.4
17:33:10,37.7,80.2
17:33:16,38.5,80.1
17:33:21,38.8,79.7
17:33:27,38.8,79.5
17:33:32,38.3,79.3
17:33:38,38.6,79.2
17:33:43,39.1,79
17:33:49,39,78.8
17:33:54,38.4,78.6
17:34:00,38.5,78.3
