0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
18:15:52,49.9,76.0,55.1,72.9,56.5,72.0,57.5,71.6,56.6,72.5,53.7,73.8,53.0,73.8,56.4,72.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:16:09,49.9,76.1,55.1,72.9,56.5,72.0,57.5,71.6,56.6,72.5,53.7,73.8,52.9,73.8,56.4,72.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:16:19,49.9,76.1,55.1,72.9,56.5,72.0,57.5,71.6,56.6,72.5,53.7,73.8,52.9,73.8,56.4,72.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:16:37,50.0,76.1,55.1,72.9,56.5,72.0,57.5,71.6,56.6,72.5,53.7,73.8,52.9,73.8,56.4,72.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:16:39,49.9,76.1,55.1,73.0,56.5,72.0,57.5,71.6,56.6,72.5,53.7,73.8,52.9,73.8,56.4,72.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:16:57,49.9,76.1,55.1,73.0,56.5,72.0,57.5,71.6,56.6,72.5,53.7,73.8,52.9,73.8,56.4,72.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:17:09,49.8,76.1,55.1,73.0,56.4,72.0,57.4,71.6,56.6,72.5,53.7,73.8,52.8,73.8,56.4,72.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:17:14,49.8,76.1,55.1,73.0,56.4,72.0,57.4,71.6,56.6,72.5,53.7,73.8,52.8,73.8,56.4,72.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:17:26,49.9,76.1,55.0,73.0,56.4,72.0,57.4,71.8,56.6,72.5,53.8,73.8,52.8,73.8,56.4,72.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:17:39,49.9,76.1,55.0,73.0,56.5,72.1,57.4,71.8,56.6,72.5,53.5,73.9,52.8,73.9,56.4,72.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:17:56,49.9,76.1,55.0,73.0,56.5,72.1,57.4,71.8,56.6,72.5,53.5,73.9,52.8,73.9,56.4,72.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:18:09,49.9,76.1,54.9,73.0,56.4,72.0,57.5,71.8,56.7,72.7,53.5,73.9,52.8,73.9,56.4,72.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
